    Hong Kong,18419.7,19733.7,17795.1,16025.1,14454.3,13386.3,13537.5,13897.3,11435.7,7454.9,7083.7,6718.2,6699.4,6332.9,6946.6,6096.3,5463,3645.2,3976,3160.7,2608.8
    India,23173.6,27884.4,28537.9,27198.3,28908.1,16716.9,25478.6,23446.6,10524.9,24022.1,14986,16458.3,9997.1,5933,6271.2,3040.9,1960.2,1627.4,596,439.2,697.4
    Indonesia,16875.9,20238.1,18785,14895.9,16222.6,11550.2,10887.3,10493.9,8161.3,12410.4,10285.2,16605.8,10140,4850,8684.6,6174.7,3573.7,1255.4,2007,1500.9,693.1
    Japan,74622.9,122101.3,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,55974.2,48478.7,34105.7,26143.1,15163,14930.5,16187.1,14494.9,18106.5,21318.7,22530.5,19890.9,29256.4,19559.3,22112.1,13193.5,10212.6,7941.5,8490.1,5992.4,4634.5
    Malaysia,17632.2,15510.1,14636.8,10710.1,11358.5,13615.9,13727.5,11467.6,12967,11691.1,9600.5,9366.5,8233.3,6407.2,8976.9,6777.6,6818,7281.2,4837.4,5095.3,3915
    Myanmar,na,na,na,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Philippines,2676.4,4241,2760.9,3718.3,3206,3303.4,3252.6,3306.6,2793.9,1964.6,2280.1,2849,2458.5,1806.5,1943.3,1761.4,1098.7,1020.9,1197,1550.9,1662.9
    Taiwan,1468,1261.3,873.7,34.6,91.1,151.4,352.2,2379.7,3175.5,3613.2,3169.5,7287.3,4244.8,1853.9,902.4,901,1091.3,2180.9,960.3,1816.6,751.8
    Thailand,3617.5,4181.8,3646.9,3656.4,3278.4,3467.8,2982.7,3250.5,3347.7,4217.5,3177,5438.7,2314.6,1446.8,2335.4,2132.5,1961.3,1131,1176.9,1194.4,1451.9
    Vietnam,163.5,123.5,124.7,na,na,262.8,211.8,251.8,320.5,191.6,124.4,179.4,190.5,717,1353.3,149.8,55.4,-,-,-,-
  Europe,135586.6,147989.2,148280.9,140391.2,137205,124429.5,105837.8,107115.9,102512.6,84112.4,56710.7,86914.6,101371.2,64059.9,86929.8,86880.4,72625,76184.7,78264,54611.7,39973.9
    Germany,30551.2,30284.8,28469.9,31700,26678.5,25016,22984,23714.3,20642.2,17988.6,5071.8,24313.5,17630.2,14891.2,20657.1,20503.2,16506.2,12052.7,13788.5,14110.4,10419.5
    Ireland,2093.2,2607.2,1885.4,1757.1,2127.9,1350.5,1167.5,1091.1,504.7,383.6,854.4,1545.9,2370.9,2977.5,3263,2872.5,2510.7,2251.6,3026.9,2127.6,1639.6
    Luxembourg,4098.8,6090,4083.9,10425.3,10374.7,14226.4,10974.7,7608.4,8896.5,8065,1911.3,7646.6,1359.8,1041.4,1114.3,5171.2,5578.2,4514.9,5180.6,3493.5,1160.1
    United Kingdom,30528.5,34411.3,29701.7,24844.4,27195.5,25548.5,19716.4,23697.2,22414.6,28290.9,25260.9,21212.5,34315.1,16405.6,18815.7,16470,14710.7,12473.4,11215.2,7631.8,6833.5
  North America,340299.3,301677.7,291146.9,244869.6,247152.9,245400.6,210759.3,167860.2,135407.4,101743.3,96536.7,70002,59211.2,51517,71505,54942.9,54230.6,60069.5,59280.6,37955.7,29865.8
    Canada,13634.4,18046.3,12371.4,12020.1,14427.3,12903.1,10366.7,5838.2,3517,2608.7,2757.6,1871.9,1605.3,1561.3,2483.1,2551.3,2316.2,2416.5,3790,2843.8,2852.9
    United States,326664.9,283631.4,278775.5,232849.5,232725.6,232495.5,200392.5,162022,131890.4,99134.6,93779.1,68130.1,57605.9,49934.9,69016.2,52391.6,51914.4,57628.2,55464.8,35112,27012.9
  Oceania,23967,27625.1,21348.9,21025.5,24085.1,22725,19507.3,14965.1,12596.4,16735.6,18776.6,21393.1,28760.7,22757.8,29963.8,23481.4,20690.4,15756.1,11830.6,10234.4,8644
    Australia,22570.2,26579.5,19655.9,20316.3,23601.8,21837.7,18603.1,14132.1,11968.1,14823,16010.8,20207.5,27534.1,22025.7,29378.6,22519.9,20080.1,15275,11380.1,9468,7934.9
    New Zealand,1376.9,1045.2,1629.9,na,na,844.9,832.2,758.5,575.5,1886,2742.5,1163.4,1226.6,714.4,560.5,957.5,596.5,481.1,450.4,740.6,683
  South And Central America And The Caribbean,45817.2,43827.1,37312.2,39245.5,35706.2,26651.3,23088.1,18442.8,15326.7,14519.6,29489.8,8645.7,7775.8,7977.1,9650.7,8982.4,8769.2,7250.7,5496.6,3590.2,4250.1
    Bermuda,932.1,828.1,1097.4,1448.9,1244.7,1182.1,994.2,1012.6,816.4,637,364.8,609.4,119.3,184.1,286.8,159.9,188,326.2,193,169,261.8
    British Virgin Islands,13927.5,18288.1,15379.7,18950.4,15607.7,10184.3,7814.1,5239.7,3081.1,1963.9,1563,823.5,532.7,573.1,633.2,593,601.4,556,398.8,467,366.2
    Cayman Islands,14970.9,17499.6,14323.7,14932.6,13776.7,10818.4,9965.5,7719.4,5613.5,5843.3,4283.7,5194.1,5695.4,6069.8,7070.4,7097.4,6887.3,5245.2,4385.7,2372.3,2440
  Africa,2451.3,1437.3,1098.1,1523.8,3249.9,3592.7,3195.7,855,848.8,1319.8,2331,576.3,708.7,762.8,1020.3,733.1,579.3,263.7,790.5,1081.2,592.5
    Mauritius,290.5,160.4,188.9,235.8,2359,2396.1,2579.2,275.7,350.6,250.2,281.5,0.9,437.4,390.2,311.4,233.1,17.8,37.6,10.4,29.8,29.4
  ASEAN,40967.1,44304.1,39968.8,33053.4,34308.5,32200.1,31063.1,28771.1,27597.5,30487.4,25467.2,34566.7,23336.8,15256.6,23442.1,17097.1,13530.4,10711.9,9265.1,9349,7740.5
  European Union (EU-27),90913,99904.7,105836.3,106389.3,101665.5,92709.5,82280.9,79566.6,76291.7,52118.4,33890.9,63008.6,62746.1,44843.7,63448.6,65407.1,54379.2,60429.3,63521.7,39264.9,29705.4
,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,
"For more information on international investments position methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/international-investment-position/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,
